Country,Crop,Acres
Jamaica,Mangoes,1270
Jamaica,Bananas,23581
Jamaica,Coconuts,54427
Jamaica,Coffee,21515
Japan,Oranges,5973
Japan,Tangerines,89452
Japan,Lemons/Limes,1347
Japan,Apples,86734
Japan,Pears,28417
Japan,Peaches,23005
Japan,Plums/Prunes,6548
Japan,Apricots,33359
Japan,Grapes,40525
Japan,Figs,2340
Japan,Mangoes,1159
Japan,Bananas,12
Jordan,Oranges,6454
Jordan,Tangerines,3590
Jordan,Lemons/Limes,6069
Jordan,Grapefruit,1092
Jordan,Apples,2086
Jordan,Pears,497
Jordan,Peaches,9467
Jordan,Plums/Prunes,722
Jordan,Apricots,4109
Jordan,Grapes,7930
Jordan,Olives,141339
Jordan,Figs,343
Jordan,Mangoes,1038
Jordan,Bananas,2221
Jordan,Almonds,927
Jordan,Walnuts,2
Jordan,Pistachios,395
Jordan,Dates,10873
Kazakhstan,Citrus (Total),138
Kazakhstan,Apples,88283
Kazakhstan,Pears,4945
Kazakhstan,Peaches,2009
Kazakhstan,Plums/Prunes,4727
Kazakhstan,Apricots,10737
Kazakhstan,Grapes,31790
Kazakhstan,Almonds,237
Kazakhstan,Walnuts,2291
Kenya,Oranges,29892
Kenya,Tangerines,9375
Kenya,Lemons/Limes,20725
Kenya,Grapefruit,870
Kenya,Apples,1087
Kenya,Pears,383
Kenya,Peaches,89
Kenya,Plums/Prunes,378
Kenya,Apricots,47
Kenya,Avocados,63429
Kenya,Mangoes,163668
Kenya,Bananas,177421
Kenya,Coconuts,178622
Kenya,Cashews,56982
Kenya,Dates,1203
Kenya,Coffee,270333
Kiribati,Bananas,3524
Kiribati,Coconuts,71240
Kuwait,Oranges,25
Kuwait,Lemons/Limes,27
Kuwait,Grapes,49
Kuwait,Olives,136
Kuwait,Mangoes,15
Kuwait,Dates,8592
Kyrgyzstan,Lemons/Limes,5
Kyrgyzstan,Apples,67329
Kyrgyzstan,Pears,12355
Kyrgyzstan,Peaches,6099
Kyrgyzstan,Plums/Prunes,4744
Kyrgyzstan,Apricots,23010
Kyrgyzstan,Grapes,10280
Kyrgyzstan,Almonds,1359
Kyrgyzstan,Walnuts,3316
Kyrgyzstan,Pistachios,1386
Kyrgyzstan,Hazelnuts,16304
Lao People's Democratic Republic,Oranges,12499
Lao People's Democratic Republic,Tangerines,11332
Lao People's Democratic Republic,Lemons/Limes,2866
Lao People's Democratic Republic,Grapefruit,3679
Lao People's Democratic Republic,Mangoes,1480
Lao People's Democratic Republic,Bananas,64717
Lao People's Democratic Republic,Coffee,220912
Latvia,Apples,7561
Latvia,Pears,544
Latvia,Plums/Prunes,173
Lebanon,Oranges,9659
Lebanon,Tangerines,2419
Lebanon,Lemons/Limes,10591
Lebanon,Grapefruit,1821
Lebanon,Apples,41136
Lebanon,Pears,5671
Lebanon,Peaches,11364
Lebanon,Plums/Prunes,5651
Lebanon,Apricots,7838
Lebanon,Grapes,27424
Lebanon,Avocados,13855
Lebanon,Olives,158323
Lebanon,Figs,1737
Lebanon,Bananas,3069
Lebanon,Almonds,11253
Lebanon,Walnuts,3588
Liberia,Oranges,5216
Liberia,Bananas,32697
Liberia,Coconuts,8678
Liberia,Coffee,6865
Libya,Oranges,13077
Libya,Tangerines,2488
Libya,Lemons/Limes,5219
Libya,Apples,899
Libya,Pears,766
Libya,Peaches,4423
Libya,Plums/Prunes,26336
Libya,Apricots,11159
Libya,Grapes,20151
Libya,Olives,564568
Libya,Figs,6588
Libya,Almonds,144055
Libya,Dates,82980
Lithuania,Apples,24414
Lithuania,Pears,2076
Lithuania,Plums/Prunes,1804
Lithuania,Walnuts,741
Lithuania,Hazelnuts,494
Luxembourg,Apples,247
Luxembourg,Pears,25
Luxembourg,Plums/Prunes,74
Luxembourg,Grapes,3015
Luxembourg,Walnuts,25
Madagascar,Oranges,33589
Madagascar,Lemons/Limes,3301
Madagascar,Grapefruit,3986
Madagascar,Apples,11513
Madagascar,Pears,2530
Madagascar,Peaches,9032
Madagascar,Plums/Prunes,1186
Madagascar,Apricots,457
Madagascar,Grapes,6267
Madagascar,Avocados,8357
Madagascar,Mangoes,124956
Madagascar,Bananas,179045
Madagascar,Coconuts,106796
Madagascar,Pistachios,33651
Madagascar,Cashews,39178
Madagascar,Coffee,223460
